Student_ID,Gender,Study_Hours,Attendance_Percent,Previous_Marks,Assignment_Score,Quiz_Score,Internal_Marks,Internet_Access,Extracurricular,Sleep_Hours,Final_Marks
1001,Female,6.2,85,75,75,67,28,Yes,Yes,6.9,78
1002,Male,7.9,65,70,61,32,21,Yes,Yes,7.9,64
1003,Male,7.0,84,88,66,53,23,Yes,No,5.1,74
1004,Female,6.5,90,58,73,68,19,Yes,Yes,6.3,71
1005,Male,9.3,98,82,81,65,26,Yes,No,5.7,80
1006,Male,8.1,79,70,81,31,24,Yes,Yes,6.5,68
1007,Male,9.3,77,56,84,34,22,Yes,No,7.6,72
1008,Male,6.5,71,83,80,73,26,Yes,No,7.9,81
1009,Female,7.9,84,81,42,83,24,Yes,Yes,6.9,73
1010,Female,6.1,67,65,77,84,23,Yes,Yes,5.6,72
1011,Male,7.8,91,82,46,63,26,Yes,Yes,7.4,74
1012,Female,8.4,71,90,48,82,21,Yes,No,7.2,74
1013,Male,6.1,67,78,66,41,11,Yes,Yes,7.8,61
1014,Male,6.5,94,77,93,74,16,Yes,No,6.2,68
1015,Female,3.2,86,57,86,38,29,Yes,Yes,6.9,61
1016,Male,5.5,85,95,70,98,16,Yes,Yes,6.7,76
1017,Male,7.9,61,89,46,58,25,Yes,Yes,6.9,69
1018,Male,4.4,85,55,56,81,16,Yes,Yes,7.4,62
1019,Female,7.0,90,42,46,56,22,Yes,Yes,6.2,55
1020,Male,6.3,70,40,61,83,19,Yes,No,6.3,55
1021,Female,7.5,54,79,75,70,10,Yes,No,7.0,70
1022,Male,5.2,90,68,72,65,22,Yes,Yes,5.1,67
1023,Male,6.4,77,65,95,43,18,Yes,No,5.9,66
1024,Female,8.3,77,43,48,77,24,Yes,No,6.5,59
1025,Male,1.6,75,75,88,65,19,Yes,No,5.7,64
1026,Female,9.4,87,72,74,96,12,Yes,Yes,7.1,74
1027,Male,4.2,80,90,50,85,27,Yes,Yes,7.9,74
1028,Male,9.6,80,73,63,48,25,Yes,Yes,6.1,73
1029,Male,1.3,86,51,63,98,21,Yes,No,6.7,61
1030,Female,8.2,61,95,44,82,22,Yes,Yes,6.2,74
1031,Female,6.0,79,54,59,43,12,Yes,Yes,6.9,52
1032,Female,9.7,61,57,59,34,16,Yes,Yes,7.8,65
1033,Female,1.0,92,82,84,72,22,Yes,Yes,5.7,70
1034,Male,1.7,72,74,56,69,26,Yes,Yes,6.8,63
1035,Female,6.8,68,88,91,89,22,No,Yes,7.7,84
1036,Female,7.6,58,70,77,74,21,Yes,Yes,6.4,67
1037,Male,3.8,87,44,86,40,20,Yes,Yes,6.4,58
1038,Male,2.3,80,60,69,31,29,Yes,No,5.7,54
1039,Female,3.0,90,49,79,85,22,Yes,No,6.0,61
1040,Female,7.0,83,76,84,63,29,Yes,No,5.3,78
1041,Female,3.8,82,73,99,89,26,Yes,No,6.8,81
1042,Female,4.7,78,60,57,56,23,Yes,Yes,6.3,62
1043,Male,9.3,87,63,72,94,30,Yes,Yes,6.4,81
1044,Male,9.8,57,62,95,57,23,Yes,No,6.4,71
1045,Female,6.2,70,67,89,55,26,Yes,No,7.6,68
1046,Male,4.0,53,39,76,85,11,Yes,Yes,5.6,50
1047,Female,4.5,64,81,55,82,25,Yes,Yes,6.0,69
1048,Female,2.3,85,72,45,81,17,Yes,Yes,6.7,65
1049,Female,3.1,68,53,86,44,24,Yes,Yes,6.6,62
1050,Female,6.3,81,76,85,87,11,Yes,Yes,7.6,66
1051,Female,2.2,67,81,86,60,15,Yes,Yes,6.6,65
1052,Female,3.0,54,70,60,81,16,Yes,No,5.4,58
1053,Male,7.4,100,88,81,43,29,Yes,Yes,4.5,76
1054,Male,6.0,82,56,55,69,23,Yes,Yes,6.5,66
1055,Male,7.1,89,30,96,85,17,Yes,Yes,5.8,66
1056,Male,4.7,81,34,89,78,25,Yes,No,6.7,67
1057,Female,6.4,86,81,41,57,16,Yes,Yes,7.2,62
1058,Male,9.8,74,89,62,86,17,Yes,Yes,7.6,77
1059,Female,6.9,84,65,93,51,25,Yes,Yes,6.7,73
1060,Female,6.5,91,57,43,51,18,Yes,Yes,5.6,61
1061,Male,7.9,57,59,74,81,25,Yes,No,5.8,68
1062,Male,2.7,66,45,51,82,27,Yes,No,5.9,59
1063,Male,1.8,60,72,49,84,26,Yes,Yes,6.0,61
1064,Female,5.7,78,62,74,58,26,Yes,Yes,7.7,66
1065,Male,8.9,87,43,76,85,17,Yes,No,5.5,68
1066,Female,6.0,91,50,81,79,24,Yes,Yes,7.2,74
1067,Male,5.1,82,65,55,77,21,Yes,Yes,6.3,65
1068,Female,6.7,96,68,85,83,16,Yes,Yes,6.6,75
1069,Female,5.1,74,57,44,38,24,Yes,No,4.8,57
1070,Female,2.1,93,66,76,77,22,No,Yes,7.3,67
1071,Male,7.9,81,91,87,85,26,Yes,Yes,5.1,85
1072,Female,9.7,55,69,61,53,23,Yes,No,6.6,73
1073,Female,9.0,94,33,80,80,12,Yes,Yes,7.7,62
1074,Male,8.0,93,50,76,71,26,Yes,Yes,6.8,76
1075,Male,7.3,79,33,87,33,29,Yes,No,6.4,54
1076,Female,7.3,86,74,81,99,26,Yes,Yes,7.9,85
1077,Female,8.6,68,48,84,81,25,Yes,Yes,5.8,70
1078,Male,4.1,81,73,73,97,23,Yes,Yes,6.2,73
1079,Female,6.2,90,92,70,41,24,Yes,Yes,5.9,74
1080,Female,5.9,80,86,57,65,25,Yes,Yes,6.1,67
1081,Male,4.6,82,47,49,30,22,Yes,Yes,7.1,53
1082,Female,4.0,90,81,98,93,12,Yes,Yes,7.3,75
1083,Female,4.7,58,30,82,85,19,Yes,No,6.1,61
1084,Male,7.9,63,80,65,84,22,Yes,Yes,6.8,73
1085,Female,4.4,79,43,72,64,19,Yes,Yes,6.2,55
1086,Female,6.1,82,41,87,44,22,Yes,Yes,5.9,59
1087,Female,6.8,64,76,59,76,29,Yes,No,6.0,77
