Student_ID,Gender,Study_Hours,Attendance_Percent,Previous_Marks,Assignment_Score,Quiz_Score,Internal_Marks,Internet_Access,Extracurricular,Sleep_Hours,Final_Marks
1001,Female,8.5,92,83,87,98,26,Yes,Yes,6.5,84
1002,Male,9.1,100,93,92,99,30,Yes,Yes,6.9,84
1003,Male,8.6,93,90,88,87,29,Yes,No,6.6,89
1004,Female,9.1,96,82,94,96,30,Yes,Yes,6.8,84
1005,Male,10.0,93,83,97,93,29,Yes,No,7.5,90
1006,Male,9.3,100,82,90,92,27,Yes,Yes,7.2,87
1007,Male,8.5,90,90,97,93,26,Yes,No,6.8,87
1008,Male,9.8,100,94,89,93,27,Yes,No,6.9,88
1009,Female,8.7,92,95,87,86,26,Yes,Yes,6.7,84
1010,Female,8.8,97,88,85,88,30,Yes,Yes,7.6,89
1011,Male,8.9,94,85,88,94,30,Yes,Yes,7.4,85
1012,Female,9.2,97,80,88,96,28,Yes,No,6.9,86
1013,Male,9.6,98,84,89,100,30,Yes,Yes,6.7,91
1014,Male,9.4,96,91,99,99,26,Yes,No,6.9,83
1015,Female,9.2,90,82,86,92,26,Yes,Yes,7.9,87
1016,Male,9.3,93,84,100,92,29,Yes,Yes,7.7,86
1017,Male,8.7,96,94,86,88,26,Yes,Yes,7.1,87
1018,Male,9.1,92,93,90,93,29,Yes,Yes,6.9,84
1019,Female,8.1,98,80,87,92,27,Yes,Yes,7.1,90
1020,Male,8.3,90,92,93,99,28,Yes,No,7.1,91
1021,Female,9.9,99,81,95,86,26,Yes,No,7.4,85
1022,Male,9.7,91,82,92,97,26,Yes,Yes,7.9,86
1023,Male,9.3,99,90,93,91,28,Yes,No,6.9,90
1024,Female,8.9,91,80,99,88,26,Yes,No,7.3,86
1025,Male,9.8,95,89,90,99,30,Yes,No,7.6,84
1026,Female,9.9,92,88,88,88,30,Yes,Yes,6.7,89
1027,Male,9.4,94,95,93,86,26,Yes,Yes,7.5,87
1028,Male,9.3,94,85,99,98,30,Yes,Yes,6.5,84
1029,Male,9.2,92,93,89,86,28,Yes,No,7.0,83
1030,Female,9.3,95,93,89,92,27,Yes,Yes,8.0,85
1031,Female,9.6,96,87,93,90,26,Yes,Yes,7.1,82
1032,Female,8.7,93,87,85,91,29,Yes,Yes,7.0,83
1033,Female,9.4,98,90,85,88,28,Yes,Yes,6.8,87
1034,Male,8.7,95,93,88,97,30,Yes,Yes,6.8,84
